playername,winningpercentage,WAR
Lew Fonseca,0.380246913580247,9.89969474068519
Otto Knabe,0.411494252873563,9.67074206459877
Harry Walker,0.509448223733938,9.50942261415432
Bill Donovan,0.420310296191819,9.3033551516358
Aaron Boone,0.581291759465479,9.0879684820679
John Farrell,0.51551094890511,8.7137434163642
Jim Lemon,0.386904761904762,8.44506774898148
Billy Sullivan,0.474747474747475,8.33048166246297
Chuck Dressen,0.505647263249348,8.17531608764198
Freddie Fitzsimmons,0.367541766109785,8.13274862119753
Joe Kelley,0.50187265917603,7.91629602121605
Eddie Kasko,0.536953242835596,7.33296657098765
Jimmie Wilson,0.385454545454545,7.31346666764198
Eddie Lopat,0.434599156118143,7.26851288039506
John Ganzel,0.477678571428571,7.22894318370988
Dick Howser,0.538702928870293,6.81905611622222
Rocco Baldelli,0.524011299435028,6.60149413353087
Larry Dierker,0.548427672955975,6.22689163390124
Rebel Oakes,0.482758620689655,6.19756722261111
Bill McKechnie,0.522435222245629,6.1282381783642
Dick Sisler,0.557446808510638,6.04219507583333
Patsy Donovan,0.421020656136087,6.03143775724691
Bill Carrigan,0.48336727766463,6.02803247408642
Harry Wolverton,0.268041237113402,5.83725549941975
Fred Haney,0.444841979725701,5.83476808461111
David Ross,0.475836431226766,5.79861111096296
Fred Hutchinson,0.495811518324607,5.79702201592593
Jerry Coleman,0.45398773006135,5.67909047248765
Bill Rigney,0.476287262872629,5.59443267039506
Danny Murtaugh,0.539473684210526,5.53208319103087
Del Rice,0.479289940828402,5.51936704624074
Alex Grammas,0.427325581395349,5.36950673189506
Gabe Kapler,0.525229357798165,4.84413311876543
Harry Craft,0.415463917525773,4.63848264641358
Pat Moran,0.551605504587156,4.51243768268519
Birdie Tebbetts,0.511976047904192,4.47985963412963
Bill Killefer,0.448060075093867,4.04748133079012
Billy Gardner,0.440587449933244,4.02087340923457
Dick Williams,0.519279393173198,3.99245556631481
Alex Cora,0.550060313630881,3.97185721925926
Buck Rodgers,0.50383631713555,3.94212211208642
Joe Girardi,0.544719314938154,3.76078142801852
Leo Durocher,0.538007714998865,3.74106882168519
Kid Gleason,0.52078431372549,3.6719433689321
Kid Nichols,0.44949494949495,3.57616142991975
Red Dooin,0.496432212028542,3.54525123794444
Buck Martinez,0.466981132075472,3.3576604382716
Gabby Street,0.508591065292096,3.32912936804938
John Wathan,0.503086419753086,3.20311407254321
Luke Sewell,0.476567656765677,3.13637007683333
Clark Griffith,0.504488778054863,3.12110973559877
Sam Mele,0.544075829383886,2.8880049022037
Mike Redmond,0.425876010781671,2.8872387852963
Lena Blackburne,0.436692506459948,2.66703044267901
Joe Birmingham,0.441489361702128,2.57769414103086
Billy Martin,0.552810902896082,2.57312165691975
Clint Hurdle,0.486806883365201,2.42888999272839
Scott Servais,0.515126050420168,2.41397079467284
Don Zimmer,0.50803324099723,2.39350642362346
John McGraw,0.581772151898734,2.37310370129012
Roger Craig,0.499328859060403,2.36770094141358
Larry Schlafly,0.488215488215488,2.11115229944444
Bob Scheffing,0.498960498960499,2.10220231345679
Zack Taylor,0.354381443298969,1.9851801827716
Steve Boros,0.457534246575342,1.93754717516049
Johnny Oates,0.513879922530665,1.85277653478395
Deacon McGuire,0.426116838487972,1.79942579701235
Doc Prothro,0.294736842105263,1.77851180170988
