GAMEID,Date,manager_name,team,win_loss
CHN199804210,04/21/1998,"""Bruce Bochy""",SDN,l
CIN200104210,04/21/2001,"""Bob Boone""",CIN,l
LAN200104210,04/21/2001,"""Bruce Bochy""",SDN,l
LAN200204210,04/21/2002,"""Bruce Bochy""",SDN,w
SDN200504210,04/21/2005,"""Jim Tracy""",LAN,l
HOU200604210,04/21/2006,"""Phil Garner""",HOU,w
LAN200704210,04/21/2007,"""Grady Little""",LAN,w
BAL200704210,04/21/2007,"""John Gibbons""",TOR,l
ANA200904210,04/21/2009,"""Mike Scioscia""",ANA,w
NYN201104210,04/21/2011,"""Terry Collins""",NYN,w
SLN201904210,04/21/2019,"""Mickey Callaway""",NYN,l
SDN202104210,04/21/2021,"""Jayce Tingler""",SDN,l
OAK202204210,04/21/2022,"""Brandon Hyde""",BAL,l
PHI202304210,04/21/2023,"""Bud Black""",COL,l
DET190504220,04/22/1905,"""Fielder Jones""",CHA,l
CIN195204220,04/22/1952,"""Eddie Stanky""",SLN,l
PIT195304220,04/22/1953,"""Leo Durocher""",NY1,w
BRO195504220,04/22/1955,"""Walter Alston""",BRO,l
BOS195904220,04/22/1959,"""Paul Richards""",BAL,l
HOU196404220,04/22/1964,"""Harry Craft""",HOU,w
MIN196904220,04/22/1969,"""Billy Martin""",MIN,l
PIT196904221,04/22/1969,"""Leo Durocher""",CHN,l
SLN196904220,04/22/1969,"""Gene Mauch""",MON,w
MON197004220,04/22/1970,"""Gene Mauch""",MON,l
CLE197004220,04/22/1970,"""Al Dark""",CLE,l
CHN197304222,04/22/1973,"""Whitey Lockman""",CHN,w
NYA198404220,04/22/1984,"""Yogi Berra""",NYA,l
CHA200004220,04/22/2000,"""Jerry Manuel""",CHA,w
SLN200004220,04/22/2000,"""Buddy Bell""",COL,w
LAN200104220,04/22/2001,"""Bruce Bochy""",SDN,w
KCA200604220,04/22/2006,"""Eric Wedge""",CLE,l
NYN200704220,04/22/2007,"""Bobby Cox""",ATL,w
PIT200804220,04/22/2008,"""Fredi Gonzalez""",FLO,l
ARI200804220,04/22/2008,"""Bruce Bochy""",SFN,l
MIL201104220,04/22/2011,"""Brad Mills""",HOU,l
ANA201204220,04/22/2012,"""Buck Showalter""",BAL,w
SFN201604220,04/22/2016,"""Don Mattingly""",MIA,l
CLE202304222,04/22/2023,"""Skip Schumaker""",MIA,w
